Store,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Month,Week,Last_Week_Sales,Rolling_4W_Avg,Actual_Sales,Predicted_Sales,Date
31,0,91.94,3.533,215.4508632,7.852,9,35,1417267.07,1444278.605,1385769.03,1426943.9220000003,2011-09-02
13,0,56.47,3.809,131.1453333,5.965,5,19,1995994.51,1994860.7850000001,2080764.17,1998282.667099999,2012-05-11
16,0,13.64,3.011,191.7625895,6.614,2,5,448391.99,488797.91750000004,479263.15,479490.6322833334,2011-02-04
25,0,71.93,3.722,214.7484595,7.28,8,32,709724.6,692151.165,710496.97,731016.0399000001,2012-08-10
23,0,69.86,3.88,136.144129,4.584,8,32,1416344.68,1364694.1975,1380952.05,1419146.8146333331,2011-08-12
26,1,18.8,3.402,136.6432581,7.598,12,52,1515175.01,1220367.1975,972834.42,869528.540533334,2011-12-30
30,0,79.49,3.561,221.3828029,6.891,5,21,460945.14,446309.49,449355.91,442404.6191916666,2012-05-25
11,0,68.71,2.633,215.060858,7.564,10,40,1182490.46,1199924.62,1293472.8,1236985.6484999992,2010-10-08
39,0,77.15,3.749,220.3545033,6.989,5,18,1456997.2,1558992.2275,1512227.34,1552947.7867666667,2012-05-04
17,0,51.93,3.802,129.0756774,6.774,5,20,870625.49,905126.7575,844443.35,898911.3132666666,2011-05-20
31,0,69.79,3.274,217.0048261,7.441,10,41,1427383.24,1355996.645,1378340.18,1370816.4144333326,2011-10-14
13,0,43.51,3.538,129.8051935,6.392,11,44,1948733.81,1979792.4275000002,2036317.54,2077336.8155999999,2011-11-04
20,0,31.75,2.777,204.4940734,8.187,3,9,1898193.95,2142561.77,2119213.72,2034644.5818333342,2010-03-05
10,1,89.06,3.771,129.3686129,8.257,9,36,1758587.35,1839808.4324999999,1670579.82,1783034.2451999998,2011-09-09
41,0,65.11,3.741,197.6551863,6.547,6,23,1374891.36,1371047.8425,1436383.84,1411654.1670333324,2012-06-08
40,0,63.39,3.683,138.1295333,4.125,6,24,1079386.88,1001050.2625,977950.28,1021041.5199833335,2012-06-15
16,0,45.17,3.795,192.8365651,6.339,5,21,435397.19,411927.4175,444718.68,455903.1008,2011-05-27
21,0,64.12,2.719,210.4798874,8.2,4,13,686497.53,718331.1849999999,753664.12,716481.6171166671,2010-04-02
26,0,63.78,2.81,132.4976,8.512,6,25,1001286.67,1037050.8775,976242.09,1029870.5401666673,2010-06-25
20,0,59.17,2.868,205.0137637,7.484,10,41,2060389.27,1933038.9775,1950676.39,1939949.2177333334,2010-10-15
25,0,69.22,2.847,204.4042877,7.856,6,22,792442.54,729774.67,764155.44,751554.3731833337,2010-06-04
1,0,87.0,2.692,211.6394211,7.787,8,32,1605491.78,1452870.625,1508237.76,1521439.6281333338,2010-08-13
